id,tid1,tid2,title1_zh,title2_zh,title1_en,title2_en,label
0,0,1, 2017养老保险又新增两项，农村老人人人可申领，你领到了吗,警方辟谣“鸟巢大会每人领5万” 仍有老人坚持进京,There are two new old-age insurance benefits for old people in rural areas. Have you got them?,"Police disprove ""bird's nest congress each person gets 50,000 yuan"" still old people insist on going to beijing",unrelated
3,2,3,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？深圳统计局辟谣：只是差距在缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP outstrips Hong Kong? Shenzhen Statistics Bureau dismisses rumors: only the gap is narrowing,unrelated
1,2,4,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",GDP首超香港？深圳澄清：还差一点点……,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",The GDP overtopped Hong Kong? Shenzhen clarified: a little bit more......,unrelated
2,2,5,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",去年深圳GDP首超香港？深圳统计局辟谣：还差611亿,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP topped Hong Kong last year? Shenzhen Bureau of Statistics refutes rumors: 61.1 billion,unrelated
9,6,7,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",吃了30年食用油才知道，一片大蒜轻松鉴别地沟油,"""How to discriminate oil from gutter oil by means of garlic.",It took 30 years of cooking oil to know that one piece of garlic is easy to spot.,agreed
4,2,8,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？统计局辟谣：未超但差距再度缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP overtakes Hong Kong? Bureau of Statistics refutes rumor: Unsurpass but the gap shrinks again,unrelated
6,9,10,"""吃榴莲的禁忌,吃错会致命!","榴莲不能和什么一起吃 与咖啡同吃诱发心脏病""""","""if you eat durian, you will kill yourself if you eat it wrongly!""","Durian can't eat with anything, it's the same as coffee, it's heart disease. """,unrelated
5,2,11,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？辟谣：未超但差距再度缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP outpaces Hong Kong? Defending Rumors: The gap has narrowed yet again,unrelated
7,12,13,"""旅行青蛙？居然是一款""""生育意愿测试器”！大家还是玩""""珠宝V课""""吧""",咸宁一家店的蛋糕含有“棉花”？崇阳多部门联合辟谣,"""Frog frog? It's a fertility test! Let's play"" Jewel V "".""","A store in xianning contains ""cotton""? A multi-agency association in chongyang university",unrelated
8,6,14,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",一颗大蒜就能鉴别地沟油？别闹了！做到下面几点，让您远离地沟油,"""How to discriminate oil from gutter oil by means of garlic.",A single piece of garlic can spot gutter oil? Come on! Do the following to keep you out of the gutter oil.,agreed
11,6,15,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油","用一颗大蒜鉴别地沟油,非常实用!""","""How to discriminate oil from gutter oil by means of garlic.","It's very practical to use a single piece of garlic to distinguish oil from oil! """,agreed
10,6,16,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油","用一颗大蒜鉴别地沟油,非常实用!","""How to discriminate oil from gutter oil by means of garlic.","Use a garlic to distinguish oil from oil, very practical!",agreed
13,6,17,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",辨别地沟油，用一颗大蒜就能鉴别，学会了记得告诉家里人,"""How to discriminate oil from gutter oil by means of garlic.",Differential gutter oil can be identified with a single piece of garlic.,agreed
12,6,18,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",翻炒大蒜可鉴别地沟油,"""How to discriminate oil from gutter oil by means of garlic.",stir-fried garlic to identify gutter oil,agreed
15,19,20,"""飞机就要起飞，一个男人在机舱口跪下！""这是今天最催泪的一幕……",陈乔恩公开宣布与他分手：有时候该放手就不再留恋,"""The plane is about to take off. A man knelt down at the hatch."" That was the tear-jerking scene today...",Chen Qihan publicly announced to break up with him: sometimes when you have to let go,unrelated
17,21,22,"""飞机就要起飞，一个男人在机舱口跪下！""这是最催泪的一幕",「网警辟谣」飞机起飞前男人机舱口跪下？这故事居然是编的！,"""The plane is about to take off. A man knelt down at the hatch!"" That was the tear-jerking scene.",The man on the front of the cockpit kneeling before takeoff? This story is made up!,disagreed
14,23,24,"""男人在机舱口跪下！""原来一切都只因为爱！",“父亲跪舱门口”谣言实锤！微博首发者：上了假冒飞行员的当！,"""Men kneel at the hatch!"" All because of love!","""Father kneel door"" rumor mill! Microblog starter: cheated by the fake pilots!",unrelated
16,19,25,"""飞机就要起飞，一个男人在机舱口跪下！""这是今天最催泪的一幕……",陈乔恩宣布跟他分手，有时候该放手就不再留恋！,"""The plane is about to take off. A man knelt down at the hatch."" That was the tear-jerking scene today...","Chen Chon announced to break up with him, sometimes should let go, no longer lingering!",unrelated
18,26,27,"""飞机就要起飞，一个男人在机舱口跪下！""这是见过最催泪的一幕……",池州一彩民中30万大奖乐晕倒在地？谣言！但却很暖心...,"""The plane is about to take off. A man knelt down at the hatch!"" This is the most tear-jerking scene...","Pond Zhou a lottery winner 300,000 prizes to faint on the ground? Rumors! But very warm...",unrelated
19,28,29,#健康过大年#还在逗孩子喝酒？儿童喝酒的危害多大你知道吗？,孩子当父母“小尾巴”危害大，父母教育有技巧，孩子健康快乐成长,Do you know how harmful it is to drink alcohol when children drink?,"When parents ""tail"" harm greatly, parents education skilled, children health and happy growth",unrelated
20,28,30,#健康过大年#还在逗孩子喝酒？儿童喝酒的危害多大你知道吗？,父母须知：这个“隐患”必须除掉，别让它危害到孩子的健康！,Do you know how harmful it is to drink alcohol when children drink?,"Note to parents: this ""hidden trouble"" must be removed, don't let it endanger the child's health!",unrelated
21,28,31,#健康过大年#还在逗孩子喝酒？儿童喝酒的危害多大你知道吗？,这3种食物危害孩子健康和发育，好吃但没营养，还是少吃为好,Do you know how harmful it is to drink alcohol when children drink?,These three kinds of food harm children's health and development. They are delicious but not nutritious. It's better to eat less.,unrelated
23,32,33,#农民#铜川市耀州区农民每亩地补助多少钱？,每亩补助上千元，这里的农民笑醒了！,"# Farmer # How much per acre per acre for farmers in Yaozhou District, Tongchuan City?","A thousand dollars per acre, the farmers here are happy!",unrelated
22,32,34,#农民#铜川市耀州区农民每亩地补助多少钱？,农民永久性退出承包地每亩补助超4万，你愿意吗？,"# Farmer # How much per acre per acre for farmers in Yaozhou District, Tongchuan City?","Farmers permanently withdraw from the contractor's contract per mu subsidy of more than 40, 000 yuan, would you mind?",unrelated
27,35,36,#吃秀##美好的一天从早餐开始#续集这会灯好多，上个一会黑一会白本来皮肤就黄,原来夏天吃芹菜、香菜、白萝卜吃错了，更容易让皮肤长出色斑,"# Showdown # # It's a good day to start with breakfast # The sequel. There's a lot of lights, a little black, a little white.","It turns out that the summer eating celery, coriander, radish eat wrong, more easily make skin eruptive spot.",unrelated
